epoch,train_loss,val_loss,auc_advance,auc_shot,auc_goal,auc_retain
1,0.3162443995475769,0.2718774548598698,0.7691003315391574,0.613122389924997,,0.5513136136338638
2,0.26949798379625595,0.2693065277167729,0.780817762255763,0.6603216284506577,,0.5640578207917923
3,0.26769765445164273,0.26884750383240835,0.7861840979060482,0.6676556508407643,,0.5686424578289597
4,0.26676525218146185,0.26714382427079336,0.7912739973946143,0.6759355943841268,,0.581740754625692
5,0.2654093870094844,0.26542982884815763,0.8009423298733606,0.6840985193756346,,0.5923191605683231
6,0.2644776625292642,0.26501162563051495,0.8052860380451335,0.6872552955345125,,0.5953504877527125
7,0.2637464225292206,0.26454005922589985,0.8067249214225551,0.6891470288513762,,0.5970973963161994
8,0.26322091817855836,0.2638345616204398,0.8067988672567971,0.690692465727297,,0.5987096340110794
9,0.26293982778276714,0.2638825305870601,0.8075056212582346,0.6906628932028607,,0.6006342119978207
10,0.26266821367400034,0.26350381544658114,0.8081436209213126,0.6911269711231928,,0.6007616962890163
11,0.2625440376145499,0.2636590770312718,0.8079414604146842,0.6911720565074994,,0.6019762133390804
12,0.26214088797569274,0.2629315257072449,0.8086776101332223,0.6963290833425673,,0.6050139743209935
13,0.261904719046184,0.2628898578030722,0.8087282173813152,0.6986213899449785,,0.6062000700065531
14,0.2617933051926749,0.26284636344228474,0.808769160299913,0.6931878563734422,,0.6078432362008055
15,0.26179668051855903,0.2627588595662798,0.8091048380723598,0.7047999767488751,,0.6061067107680894
16,0.2610797481877463,0.2627358947481428,0.8090880044791569,0.6980680131732153,,0.607313933119461
17,0.2609359085559845,0.26267843161310467,0.8089351284654288,0.6954984369068011,,0.6072934604130107
18,0.26076048612594604,0.2630192254270826,0.8089156863943572,0.6937690255053941,,0.6085285832865861
19,0.26046550273895264,0.2634788155555725,0.8093707326968529,0.6922400823961737,,0.6089902442993488
20,0.2603040065084185,0.26254271609442575,0.808204964127342,0.6990933151199521,,0.6091664651299551
21,0.25976049048560007,0.2628507443836757,0.8089114982482138,0.6770385332899798,,0.6100060448980642
22,0.25942972983632767,0.2626009668622698,0.8086671600200214,0.6903738889867777,,0.6091154929214735
23,0.259212384053639,0.2626995401723044,0.8088238156649469,0.6782532955744753,,0.6094191538646875
24,0.25881504927362714,0.26317608782223295,0.8085332411828541,0.6822756311862979,,0.6063513473738644
25,0.25844549792153493,0.26306230255535673,0.8084396600140961,0.6744104295826968,,0.6077293990242166
26,0.2578862871442522,0.26334149071148466,0.8069871857031822,0.6669980799657046,,0.6062866123726315
27,0.2573277865137373,0.26393817578043255,0.8079440017711171,0.6573431956854631,,0.6058608133286651
28,0.2568827654634203,0.2635838176522936,0.807609502095596,0.6480287224051836,,0.6062960061355502
29,0.2561576724052429,0.26397321479661123,0.8061330885774093,0.6490436340054967,,0.6034431151054357
30,0.2553649033818926,0.2648997817720686,0.8055566207547404,0.6545799084850257,,0.6029630229020253
31,0.2547544504914965,0.2656458743980953,0.8051243482925196,0.6434426923349397,,0.6017594824871839
32,0.2537694547857557,0.2660998744624002,0.8039648266456064,0.6310886430970499,,0.6008208461866527
33,0.2527502809252058,0.2672614072050367,0.803111795361944,0.6268319797424575,,0.598130700936512
34,0.25168239985193525,0.2679384308201926,0.8030312831996509,0.6027151137761098,,0.5985199142966551
35,0.25015081507819037,0.2693521124976022,0.8016402701359123,0.6149769941018435,,0.5976662473719511
36,0.24910397359303066,0.2689484102385385,0.8001540071256485,0.6123466742717221,,0.5987162311531193
37,0.2475097485951015,0.27174615434237887,0.7990632421316273,0.5996531222809354,,0.5930793020035614
38,0.24590414209025246,0.2732345759868622,0.7964537099934024,0.5961911024484524,,0.5920304401260089
39,0.24405474747930253,0.2744329145976475,0.7982774190787674,0.6088981328256837,,0.5905917463880817
40,0.24250001992498124,0.276932635477611,0.7955885239435216,0.5955372008915354,,0.5880263422876011
41,0.24082087789263043,0.2775512763432094,0.7940645965496214,0.5964316789310296,,0.5837531143041641
42,0.23899847311632974,0.28061229842049734,0.7920497904218804,0.5913401912041722,,0.5808359230831298
43,0.2375565298965999,0.2829093933105469,0.7916910182464392,0.5825553712823177,,0.577901108093273
44,0.23568821379116603,0.2856166022164481,0.7917956894965711,0.5929009229606674,,0.5744965456651607
45,0.2337578066757747,0.28722731130463736,0.7880188692983998,0.5854596184272429,,0.5792343394035204
46,0.23201318638665336,0.2918686696461269,0.7880248303762623,0.5830016475601759,,0.5710811548326148
47,0.23020613619259425,0.2921041803700583,0.7861321227693834,0.5787935935885022,,0.5728632249017597
48,0.22796312527997153,0.2963388817650931,0.7844390551434905,0.5766699666310028,,0.569857926462557
