phase,epoch,train_loss,val_loss,reached_s2,reached_s3,reached_shot
sse,1,0.7247135896682739,0.692639912877764,0.7645059626051612,0.8034951083219203,0.7227927529827662
sse,2,0.684638665676117,0.6858666496617454,,,
sse,3,0.6790903973579406,0.6840121618338993,,,
sse,4,0.678485420703888,0.6824302843638829,,,
sse,5,0.6759100708961486,0.6834464371204376,,,
sse,6,0.6717210557460785,0.6743123701640538,,,
sse,7,0.669590078830719,0.672127787555967,,,
sse,8,0.664461139678955,0.6606766198362622,,,
sse,9,0.6631097888946533,0.667949493442263,,,
sse,10,0.661828375339508,0.6623452731541225,0.7768397789857439,0.8512513796670307,0.6754868169097068
sse,11,0.6578063960075379,0.6502787513392312,,,
sse,12,0.6560645208358765,0.6521197514874595,,,
sse,13,0.6518689594268798,0.6656392216682434,,,
sse,14,0.65243878698349,0.663818359375,,,
sse,15,0.6513972444534302,0.653050320489066,,,
sse,16,0.6492951922416687,0.648315565926688,,,
sse,17,0.6480667190551758,0.645792122398104,,,
sse,18,0.6490447454452515,0.6519881018570491,,,
sse,19,0.6473929877281189,0.6477464990956443,,,
sse,20,0.6482045822143555,0.6526264250278473,0.7838072283441028,0.8625308438650324,0.7524053616143762
sse,21,0.6460976366996765,0.6452146853719439,,,
sse,22,0.6439665269851684,0.643052841935839,,,
sse,23,0.6446085820198059,0.6455892963068826,,,
sse,24,0.640643482208252,0.6429489467825208,,,
sse,25,0.6423687181472778,0.6530165331704276,,,
sse,26,0.6417616138458252,0.643793910741806,,,
sse,27,0.6397493290901184,0.6496325135231018,,,
sse,28,0.6407123217582703,0.6471745244094304,,,
sse,29,0.637805214881897,0.6427479003156934,,,
sse,30,0.6389620065689087,0.6377078635351998,0.7889321463319887,0.866659732214575,0.7645426425099426
sse,31,0.6362952575683594,0.644784906080791,,,
sse,32,0.6358114457130433,0.6388162842818669,,,
sse,33,0.6344545545578003,0.6372957868235452,,,
sse,34,0.6348663353919983,0.6423647148268563,,,
sse,35,0.6345278625488281,0.6397287845611572,,,
sse,36,0.6334228873252868,0.6364401621477944,,,
sse,37,0.6316490883827209,0.6348435069833483,,,
sse,38,0.6308506145477295,0.6384167075157166,,,
sse,39,0.6300811095237732,0.6360505861895425,,,
sse,40,0.6301460013389587,0.6388879631246839,0.7882794059861458,0.867901288074476,0.7528236853733982
sse,41,0.6283778147697449,0.6342032934938159,,,
sse,42,0.6289592046737671,0.6353611648082733,,,
sse,43,0.6280807709693909,0.6364540670599256,,,
sse,44,0.6263571844100952,0.6330662199429103,,,
sse,45,0.6258942470550537,0.6353005639144352,,,
sse,46,0.6243398320674897,0.6322689652442932,,,
sse,47,0.6242760422229767,0.6333496655736651,,,
sse,48,0.6236942884922028,0.633104247706277,,,
sse,49,0.6241459722518921,0.6340624817780086,,,
sse,50,0.6227795577049255,0.6322944760322571,0.7933516258761757,0.8687790741350715,0.7319016055383709
sse,51,0.6232157516479492,0.6348559004919869,,,
sse,52,0.6216375141143798,0.6324252741677421,,,
sse,53,0.6222589297294616,0.6339846977165767,,,
sse,54,0.6212967977523803,0.6333189478942326,,,
sse,55,0.6202428641319275,0.6343724472182137,,,
sse,56,0.6206961390972138,0.6331185911382947,,,
sse,57,0.6191250667572021,0.6326785726206643,,,
sse,58,0.6204992389678955,0.6330882140568325,,,
sse,59,0.619759560585022,0.6331512119088855,,,
sse,60,0.6196721148490906,0.6331395506858826,0.7933605767208222,0.8682685250998272,0.7261511268228016
