phase,epoch,train_loss,val_loss,mmd
generator,1,0.07021434155106544,0.0485131780483893,0.1649550199508667
generator,2,0.048122343093156814,0.04693667018519981,
generator,3,0.04681467032432556,0.04555051481085164,
generator,4,0.046747391849756244,0.044904982804187706,
generator,5,0.04636790044605732,0.04562647880188057,
generator,6,0.04630899339914322,0.04585526550986937,
generator,7,0.046013533517718315,0.04474901008818831,
generator,8,0.04597790984809399,0.045533474667796066,
generator,9,0.045937573701143264,0.04547975771129131,
generator,10,0.04576561157405377,0.045693838968873024,0.1510208249092102
generator,11,0.04551810652017593,0.045699561280863624,
generator,12,0.04564113841950893,0.045738162738936286,
generator,13,0.04540214140713215,0.04580371347921235,
generator,14,0.04542636814713478,0.045070807582565715,
generator,15,0.045708343535661694,0.04510947396712644,
generator,16,0.04537963730096817,0.04514369474990027,
generator,17,0.04524598440527916,0.04477124102413654,
generator,18,0.04509075078368187,0.04535776110632079,
generator,19,0.04516943271458149,0.0441730259252446,
generator,20,0.04514461055397987,0.044621284518923075,0.16162723302841187
generator,21,0.04496704642474651,0.04437703759010349,
generator,22,0.045044920444488525,0.04543602413364819,
generator,23,0.044953250214457514,0.04486863927117416,
generator,24,0.04486290049552918,0.0448828303654279,
generator,25,0.04464846412837505,0.04408777824469975,
generator,26,0.044844680488109585,0.04445055193666901,
generator,27,0.04472369778156281,0.04489513486623764,
generator,28,0.04471373878419399,0.0446480286440679,
generator,29,0.04463356873393059,0.044072099163063934,
generator,30,0.04461909008026123,0.044455461470144134,0.14549946784973145
generator,31,0.04436075592041016,0.04404197806226356,
generator,32,0.04443046453595161,0.0449602748932583,
generator,33,0.044535782396793365,0.04403097182512283,
generator,34,0.04443974989652634,0.04418963526508638,
generator,35,0.04453103743493557,0.04429904571069138,
generator,36,0.04432024016976357,0.04444425978830883,
generator,37,0.04448593866825104,0.044942931937319894,
generator,38,0.04441505306959152,0.04339557114456381,
generator,39,0.04429818917810917,0.04395079719168799,
generator,40,0.0443281897008419,0.043640083500317166,0.14379668235778809
generator,41,0.04402093954384327,0.043548703991941044,
generator,42,0.04417332646250725,0.04340244869568518,
generator,43,0.04421963576972485,0.043606345009590895,
generator,44,0.04422998790442943,0.04377831492040839,
generator,45,0.044152201816439626,0.04356102499046496,
generator,46,0.04405183511972428,0.043400569552821774,
generator,47,0.04394642904400826,0.04382226030741419,
generator,48,0.04386974972486496,0.043749189536486356,
generator,49,0.043908379390835764,0.04347087176782744,
generator,50,0.04394218744337559,0.043656881366457255,0.1598801612854004
generator,51,0.044071529373526576,0.04430280080331223,
generator,52,0.04378870193660259,0.04388821723737887,
generator,53,0.04369048896431923,0.04424182990831988,
generator,54,0.043829943269491196,0.04417541503374066,
generator,55,0.04381539469957352,0.04337627387472561,
generator,56,0.04379278498888016,0.043041808264596124,
generator,57,0.0437916416823864,0.0433977980698858,
generator,58,0.043701177641749384,0.04364316471453224,
generator,59,0.0437015148550272,0.04367561598441431,
generator,60,0.04363666532933712,0.04377846818949495,0.1499851942062378
generator,61,0.04365302421152592,0.04340733627655676,
generator,62,0.04358524671196937,0.043686824584645886,
generator,63,0.04374297674000263,0.04397498004670654,
generator,64,0.04374686895310879,0.04290221658136163,
generator,65,0.04366144849359989,0.04317467885890177,
generator,66,0.04350787395238876,0.04331494375531163,
generator,67,0.04357082398235798,0.04294525060270514,
generator,68,0.04335590147972107,0.04312971367367676,
generator,69,0.043469483345747,0.04323312706713166,
generator,70,0.04348368906974792,0.042357303601290495,0.14981180429458618
generator,71,0.04317261955142021,0.04331728829337018,
generator,72,0.043310254603624344,0.04354235702859504,
generator,73,0.04337732197344303,0.042682796849736145,
generator,74,0.04338903303444386,0.0433143326746566,
generator,75,0.043284596979618076,0.043017517775297165,
generator,76,0.04315654982626438,0.04275899367140872,
generator,77,0.043304812729358676,0.04301310370543173,
generator,78,0.04351663689315319,0.043284181372395585,
generator,79,0.043336644515395165,0.043082787921386104,
generator,80,0.04318024110794067,0.04218293247478349,0.1532127857208252
generator,81,0.043134857624769214,0.043141997286251614,
generator,82,0.04310628496110439,0.043571309585656436,
generator,83,0.04319474248588085,0.04342669301799366,
generator,84,0.04307429648935795,0.042336156990911276,
generator,85,0.042946335032582286,0.043048109992274215,
generator,86,0.04315166684985161,0.042285422927566936,
generator,87,0.04314482912421227,0.042747500485607555,
generator,88,0.04305880615115166,0.04219545157892363,
generator,89,0.04297661432623863,0.04284457662808044,
generator,90,0.04310670901834965,0.042327998605157645,0.15469956398010254
generator,91,0.043004130512475966,0.043200742320290635,
generator,92,0.042973592802882196,0.042846359977764745,
generator,93,0.043074070647358895,0.04250033146568707,
generator,94,0.04293284368515014,0.043624355856861384,
generator,95,0.04306306952238083,0.042753297702542374,
generator,96,0.043121292233467105,0.04308963127966438,
generator,97,0.04308705408871174,0.04285647999495268,
generator,98,0.04304348836839199,0.04301994081054415,
generator,99,0.04309097111225128,0.04264375727091517,
generator,100,0.043152406945824624,0.04287304463131087,0.1564784049987793
